State,Date,Hourly Demand Met (in MW)
Maharashtra - 2017,01-Jan 12am,12900.06
Maharashtra - 2017,01-Jan 1am,12921.85
Maharashtra - 2017,01-Jan 2am,12633.35
Maharashtra - 2017,01-Jan 3am,12644.78
Maharashtra - 2017,01-Jan 4am,12893.00
Maharashtra - 2017,01-Jan 5am,13716.08
Maharashtra - 2017,01-Jan 6am,14886.11
Maharashtra - 2017,01-Jan 7am,16237.28
Maharashtra - 2017,01-Jan 8am,17226.99
Maharashtra - 2017,01-Jan 9am,17444.84
Maharashtra - 2017,01-Jan 10am,17629.24
Maharashtra - 2017,01-Jan 11am,17736.47
Maharashtra - 2017,01-Jan 12pm,17643.54
Maharashtra - 2017,01-Jan 1pm,17200.54
Maharashtra - 2017,01-Jan 2pm,16868.80
Maharashtra - 2017,01-Jan 3pm,16743.42
Maharashtra - 2017,01-Jan 4pm,16058.10
Maharashtra - 2017,01-Jan 5pm,14685.90
Maharashtra - 2017,01-Jan 6pm,14284.32
Maharashtra - 2017,01-Jan 7pm,14358.12
Maharashtra - 2017,01-Jan 8pm,13575.77
Maharashtra - 2017,01-Jan 9pm,12830.02
Maharashtra - 2017,01-Jan 10pm,12241.32
Maharashtra - 2017,01-Jan 11pm,12307.07
Maharashtra - 2017,02-Jan 12am,12492.27
Maharashtra - 2017,02-Jan 1am,12484.49
Maharashtra - 2017,02-Jan 2am,12482.76
Maharashtra - 2017,02-Jan 3am,12501.06
Maharashtra - 2017,02-Jan 4am,12820.48
Maharashtra - 2017,02-Jan 5am,13698.17
Maharashtra - 2017,02-Jan 6am,15336.57
Maharashtra - 2017,02-Jan 7am,17473.14
Maharashtra - 2017,02-Jan 8am,18815.77
Maharashtra - 2017,02-Jan 9am,19179.14
Maharashtra - 2017,02-Jan 10am,19621.13
Maharashtra - 2017,02-Jan 11am,19905.87
Maharashtra - 2017,02-Jan 12pm,19641.31
Maharashtra - 2017,02-Jan 1pm,19155.61
Maharashtra - 2017,02-Jan 2pm,19147.65
Maharashtra - 2017,02-Jan 3pm,19226.29
Maharashtra - 2017,02-Jan 4pm,18804.46
Maharashtra - 2017,02-Jan 5pm,17665.41
Maharashtra - 2017,02-Jan 6pm,17519.21
Maharashtra - 2017,02-Jan 7pm,16793.72
Maharashtra - 2017,02-Jan 8pm,15837.25
Maharashtra - 2017,02-Jan 9pm,14801.13
Maharashtra - 2017,02-Jan 10pm,14150.04
Maharashtra - 2017,02-Jan 11pm,13795.74
Maharashtra - 2017,03-Jan 12am,13844.00
Maharashtra - 2017,03-Jan 1am,13529.69
Maharashtra - 2017,03-Jan 2am,13384.56
Maharashtra - 2017,03-Jan 3am,13592.58
Maharashtra - 2017,03-Jan 4am,13692.81
Maharashtra - 2017,03-Jan 5am,14530.41
Maharashtra - 2017,03-Jan 6am,15861.14
Maharashtra - 2017,03-Jan 7am,17809.82
Maharashtra - 2017,03-Jan 8am,18491.81
Maharashtra - 2017,03-Jan 9am,18650.62
Maharashtra - 2017,03-Jan 10am,18935.94
Maharashtra - 2017,03-Jan 11am,19058.13
Maharashtra - 2017,03-Jan 12pm,18918.64
Maharashtra - 2017,03-Jan 1pm,18633.18
Maharashtra - 2017,03-Jan 2pm,18660.14
Maharashtra - 2017,03-Jan 3pm,18684.91
Maharashtra - 2017,03-Jan 4pm,18460.80
Maharashtra - 2017,03-Jan 5pm,16938.98
Maharashtra - 2017,03-Jan 6pm,16372.69
Maharashtra - 2017,03-Jan 7pm,16689.68
Maharashtra - 2017,03-Jan 8pm,15570.92
Maharashtra - 2017,03-Jan 9pm,14357.52
Maharashtra - 2017,03-Jan 10pm,13278.06
Maharashtra - 2017,03-Jan 11pm,12892.58
Maharashtra - 2017,04-Jan 12am,13844.00
Maharashtra - 2017,04-Jan 1am,13529.69
Maharashtra - 2017,04-Jan 2am,13384.56
Maharashtra - 2017,04-Jan 3am,13592.58
Maharashtra - 2017,04-Jan 4am,13692.81
Maharashtra - 2017,04-Jan 5am,14530.41
Maharashtra - 2017,04-Jan 6am,15861.14
Maharashtra - 2017,04-Jan 7am,17809.82
Maharashtra - 2017,04-Jan 8am,18491.81
Maharashtra - 2017,04-Jan 9am,18817.29
Maharashtra - 2017,04-Jan 10am,19033.92
Maharashtra - 2017,04-Jan 11am,19625.06
Maharashtra - 2017,04-Jan 12pm,19206.12
Maharashtra - 2017,04-Jan 1pm,18966.34
Maharashtra - 2017,04-Jan 2pm,18918.85
Maharashtra - 2017,04-Jan 3pm,18788.07
Maharashtra - 2017,04-Jan 4pm,18577.50
Maharashtra - 2017,04-Jan 5pm,16889.71
Maharashtra - 2017,04-Jan 6pm,16819.63
Maharashtra - 2017,04-Jan 7pm,17119.85
Maharashtra - 2017,04-Jan 8pm,16066.10
Maharashtra - 2017,04-Jan 9pm,15120.82
Maharashtra - 2017,04-Jan 10pm,14214.75
Maharashtra - 2017,04-Jan 11pm,13732.32
Maharashtra - 2017,05-Jan 12am,13686.59
Maharashtra - 2017,05-Jan 1am,13499.09
Maharashtra - 2017,05-Jan 2am,13286.03
Maharashtra - 2017,05-Jan 3am,13458.37
Maharashtra - 2017,05-Jan 4am,13719.47
Maharashtra - 2017,05-Jan 5am,14689.63
Maharashtra - 2017,05-Jan 6am,16567.75
Maharashtra - 2017,05-Jan 7am,18326.29
Maharashtra - 2017,05-Jan 8am,18975.60
Maharashtra - 2017,05-Jan 9am,19438.37
Maharashtra - 2017,05-Jan 10am,19788.65
Maharashtra - 2017,05-Jan 11am,19805.07
Maharashtra - 2017,05-Jan 12pm,19269.51
Maharashtra - 2017,05-Jan 1pm,19091.33
Maharashtra - 2017,05-Jan 2pm,19117.03
Maharashtra - 2017,05-Jan 3pm,19156.69
Maharashtra - 2017,05-Jan 4pm,18861.38
Maharashtra - 2017,05-Jan 5pm,17130.75
Maharashtra - 2017,05-Jan 6pm,16733.21
Maharashtra - 2017,05-Jan 7pm,16841.60
Maharashtra - 2017,05-Jan 8pm,15776.87
Maharashtra - 2017,05-Jan 9pm,14823.11
Maharashtra - 2017,05-Jan 10pm,13847.53
Maharashtra - 2017,05-Jan 11pm,13663.43
Maharashtra - 2017,06-Jan 12am,13855.53
Maharashtra - 2017,06-Jan 1am,13777.80
Maharashtra - 2017,06-Jan 2am,13631.02
Maharashtra - 2017,06-Jan 3am,13659.01
Maharashtra - 2017,06-Jan 4am,13916.36
Maharashtra - 2017,06-Jan 5am,14736.07
Maharashtra - 2017,06-Jan 6am,16490.75
Maharashtra - 2017,06-Jan 7am,18182.60
Maharashtra - 2017,06-Jan 8am,18891.33
Maharashtra - 2017,06-Jan 9am,19400.07
Maharashtra - 2017,06-Jan 10am,19471.72
Maharashtra - 2017,06-Jan 11am,19589.79
Maharashtra - 2017,06-Jan 12pm,19547.65
Maharashtra - 2017,06-Jan 1pm,18987.33
Maharashtra - 2017,06-Jan 2pm,18530.01
Maharashtra - 2017,06-Jan 3pm,18344.77
Maharashtra - 2017,06-Jan 4pm,17628.88
Maharashtra - 2017,06-Jan 5pm,16200.21
Maharashtra - 2017,06-Jan 6pm,15921.27
Maharashtra - 2017,06-Jan 7pm,15606.35
Maharashtra - 2017,06-Jan 8pm,15025.69
Maharashtra - 2017,06-Jan 9pm,14306.06
Maharashtra - 2017,06-Jan 10pm,13597.83
Maharashtra - 2017,06-Jan 11pm,13567.11
Maharashtra - 2017,07-Jan 12am,13706.58
Maharashtra - 2017,07-Jan 1am,13595.75
Maharashtra - 2017,07-Jan 2am,13447.68
Maharashtra - 2017,07-Jan 3am,13462.79
Maharashtra - 2017,07-Jan 4am,13768.98
Maharashtra - 2017,07-Jan 5am,15054.17
Maharashtra - 2017,07-Jan 6am,16498.12
Maharashtra - 2017,07-Jan 7am,18558.54
Maharashtra - 2017,07-Jan 8am,19199.93
Maharashtra - 2017,07-Jan 9am,19453.27
Maharashtra - 2017,07-Jan 10am,19812.56
Maharashtra - 2017,07-Jan 11am,19780.89
Maharashtra - 2017,07-Jan 12pm,19497.81
Maharashtra - 2017,07-Jan 1pm,18778.95
Maharashtra - 2017,07-Jan 2pm,18606.88
Maharashtra - 2017,07-Jan 3pm,18571.01
Maharashtra - 2017,07-Jan 4pm,18198.12
Maharashtra - 2017,07-Jan 5pm,16550.47
Maharashtra - 2017,07-Jan 6pm,16076.15
Maharashtra - 2017,07-Jan 7pm,16221.53
Maharashtra - 2017,07-Jan 8pm,15391.79
Maharashtra - 2017,07-Jan 9pm,14389.92
Maharashtra - 2017,07-Jan 10pm,13675.82
Maharashtra - 2017,07-Jan 11pm,13456.72
Maharashtra - 2017,08-Jan 12am,13617.04
