State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2018,01-Jan 12am,11122.96
Uttar Pradesh - 2018,01-Jan 1am,10643.03
Uttar Pradesh - 2018,01-Jan 2am,10264.12
Uttar Pradesh - 2018,01-Jan 3am,9990.00
Uttar Pradesh - 2018,01-Jan 4am,9965.98
Uttar Pradesh - 2018,01-Jan 5am,10287.37
Uttar Pradesh - 2018,01-Jan 6am,11090.90
Uttar Pradesh - 2018,01-Jan 7am,11202.21
Uttar Pradesh - 2018,01-Jan 8am,10869.83
Uttar Pradesh - 2018,01-Jan 9am,11029.12
Uttar Pradesh - 2018,01-Jan 10am,11366.63
Uttar Pradesh - 2018,01-Jan 11am,11933.46
Uttar Pradesh - 2018,01-Jan 12pm,12438.85
Uttar Pradesh - 2018,01-Jan 1pm,12529.39
Uttar Pradesh - 2018,01-Jan 2pm,12533.95
Uttar Pradesh - 2018,01-Jan 3pm,12330.16
Uttar Pradesh - 2018,01-Jan 4pm,12545.85
Uttar Pradesh - 2018,01-Jan 5pm,13692.64
Uttar Pradesh - 2018,01-Jan 6pm,15007.78
Uttar Pradesh - 2018,01-Jan 7pm,14544.76
Uttar Pradesh - 2018,01-Jan 8pm,13996.42
Uttar Pradesh - 2018,01-Jan 9pm,13698.54
Uttar Pradesh - 2018,01-Jan 10pm,12834.52
Uttar Pradesh - 2018,01-Jan 11pm,11754.81
Uttar Pradesh - 2018,02-Jan 12am,11041.15
Uttar Pradesh - 2018,02-Jan 1am,10491.10
Uttar Pradesh - 2018,02-Jan 2am,10260.96
Uttar Pradesh - 2018,02-Jan 3am,10156.78
Uttar Pradesh - 2018,02-Jan 4am,10291.24
Uttar Pradesh - 2018,02-Jan 5am,10573.68
Uttar Pradesh - 2018,02-Jan 6am,11353.68
Uttar Pradesh - 2018,02-Jan 7am,11652.40
Uttar Pradesh - 2018,02-Jan 8am,11495.61
Uttar Pradesh - 2018,02-Jan 9am,12013.61
Uttar Pradesh - 2018,02-Jan 10am,12601.49
Uttar Pradesh - 2018,02-Jan 11am,13065.23
Uttar Pradesh - 2018,02-Jan 12pm,12866.74
Uttar Pradesh - 2018,02-Jan 1pm,12367.82
Uttar Pradesh - 2018,02-Jan 2pm,12484.12
Uttar Pradesh - 2018,02-Jan 3pm,12676.30
Uttar Pradesh - 2018,02-Jan 4pm,13129.40
Uttar Pradesh - 2018,02-Jan 5pm,13814.03
Uttar Pradesh - 2018,02-Jan 6pm,14854.88
Uttar Pradesh - 2018,02-Jan 7pm,14482.31
Uttar Pradesh - 2018,02-Jan 8pm,13873.78
Uttar Pradesh - 2018,02-Jan 9pm,13530.07
Uttar Pradesh - 2018,02-Jan 10pm,13085.49
Uttar Pradesh - 2018,02-Jan 11pm,12291.36
Uttar Pradesh - 2018,03-Jan 12am,11373.60
Uttar Pradesh - 2018,03-Jan 1am,10932.97
Uttar Pradesh - 2018,03-Jan 2am,10579.97
Uttar Pradesh - 2018,03-Jan 3am,10312.63
Uttar Pradesh - 2018,03-Jan 4am,10348.10
Uttar Pradesh - 2018,03-Jan 5am,10586.07
